SI.NO.,ACCESS NO.,TITLE OF THE BOOK,,AUTHORS,PUBLICATION,,COST,
1,CS001,Distributed Systems,,"George Coulouris,Jean Dollimore",Pearson,,_,
2,CS002,A Textbook of Electrical Technology- Vol-II,,"B.L Thereja,A.K. Thereja",S. Chand,,_,
3,CS003,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
4,CS004,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
5,CS005,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
6,CS006,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
7,CS007,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
8,CS008,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
9,CS009,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
10,CS010,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
11,CS011,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
12,CS012,Digital Design,,M.Moris Mano,Pearson Education,,_,
13,CS013,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
14,CS014,Digital Design,,"M.Moris Mano,Michael D.Ciletti",Pearson Education,,_,
15,CS015,Operating Systems,,H. M. Deitel,Pearson Education,,_,
16,CS016,Operating Systems,,H. M. Deitel,Pearson Education,,_,
17,CS017,A Textbook of Electrical Technology (Vol – I),,"B.L. Thereja,A.K. Thereja",S. chand,,_,
18,CS018,Operating Systems,,"Sibsankar Haldar,Alex. A. Aravind",Pearson Education,,_,
19,CS019,Programming with ANSI C++,,Bhushan Trivedi,Oxford Higher Education,,_,
20,CS020,Programming with ANSI C++,,Bhushan Trivedi,Oxford Higher Education,,_,
21,CS021,Programming with ANSI C++,,Bhushan Trivedi,Oxford Higher Education,,_,
22,CS022,Programming with ANSI C++,,Bhushan Trivedi,Oxford Higher Education,,_,
23,CS023,Digital Design,,M.Moris Mano,Prentice-Hall of India,,225,
24,CS024,Computer Architecture and Logic Design,,Thomas C.Bartee,McGraw-Hill Publications,,_,
25,CS025,Computer Organization,,"Carl Hamacher,Zvono Vranesic,Safwat Zaky",Mcgraw Hill,,_,
26,CS026,Computer Organization,,"Carl Hamacher,Zvono Vranesic,Safwat Zaky",Mcgraw Hill,,_,
27,CS027,Computer Architecture and Logic Design,,Thomas C.Bartee,McGraw-Hill Publications,,_,
28,CS028,Computer Organization,,"Carl Hamacher,Zvono Vranesic,Safwat Zaky",Mcgraw Hill,,_,
29,CS029,Computer Organization,,"Carl Hamacher,Zvono Vranesic,Safwat Zaky",Mcgraw Hill,,_,
30,CS030,Computer Architecture and organization,,John P.Hayes,McGraw-Hill Edition,,_,
31,CS031,Computer organization & Architecture,,"A.P.Godse,D.A.Godse",Technical Publiction,,_,
32,CS032,Computer Architecture and organization,,John P.Hayes,McGraw-Hill Edition,,_,
33,CS033,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,_,
34,CS034,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,_,
35,CS035,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,_,
36,CS036,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,_,
37,CS037,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,_,
38,CS038,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,_,
39,CS039,"Microprocessor Architecture , Programming, and Applications With The 8085",,Ramesh Gaonkar,Penram International Publications,,_,
40,CS040,"Microprocessor Architecture , Programming, and Applications With The 8085",,Ramesh Gaonkar,Penram International Publications,,_,
41,CS041,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,_,
42,CS042,Object Oriented Systems Development,,Ali Bahrami,Tata McGraw-Hill Publications,,_,
43,CS043,Object Oriented Systems Development,,Ali Bahrami,Tata McGraw-Hill Publications,,_,
44,CS044,Object Oriented Systems Development,,Ali Bahrami,Tata McGraw-Hill Publications,,_,
45,CS045,Object Oriented Systems Development,,Ali Bahrami,Tata McGraw-Hill Publications,,_,
46,CS046,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
47,CS047,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
48,CS048,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
49,CS049,Software Engineering,,Roger s.pressman,Tata McGraw-Hill Edition,,-,
50,CS050,Software Engineering,,Roger s.pressman,Tata McGraw-Hill Edition,,-,
51,CS051,Software Engineering,,Roger s.pressman,Tata McGraw-Hill Edition,,-,
52,CS052,Software Engineering,,Roger s.pressman,Tata McGraw-Hill Edition,,-,
